English Name,Translated Name
Salazzle-Totem,Salazzle-Totem
Togedemaru-Totem,Togedemaru-Totem
Mimikyu-Totem,Mimikyu-Totem
Mimikyu-Busted-Totem,Mimikyu-Busted-Totem
Kommo-o-Totem,Kommo-o-Totem
Necrozma-Dusk-Mane,Necrozma-Dusk-Mane
Necrozma-Dawn-Wings,Necrozma-Dawn-Wings
Necrozma-Ultra,Necrozma-Ultra
Poipole,Poipole
Naganadel,Naganadel
Stakataka,Stakataka
Blacephalon,Blacephalon
Zeraora,Zeraora
Meltan,Meltan
Melmetal,Melmetal
Melmetal-Gmax,Melmetal-Gmax
Grookey,Grookey
Thwackey,Thwackey
Rillaboom,Rillaboom
Scorbunny,Scorbunny
Raboot,Raboot
Cinderace,Cinderace
Sobble,Sobble
Drizzile,Drizzile
Inteleon,Inteleon
Skwovet,Skwovet
Greedent,Greedent
Rookidee,Rookidee
Corvisquire,Corvisquire
Corviknight,Corviknight
Corviknight-Gmax,Corviknight-Gmax
Blipbug,Blipbug
Dottler,Dottler
Orbeetle,Orbeetle
Orbeetle-Gmax,Orbeetle-Gmax
Nickit,Nickit
Thievul,Thievul
Gossifleur,Gossifleur
Eldegoss,Eldegoss
Wooloo,Wooloo
Dubwool,Dubwool
Chewtle,Chewtle
Drednaw,Drednaw
Drednaw-Gmax,Drednaw-Gmax
Yamper,Yamper
Boltund,Boltund
Rolycoly,Rolycoly
Carkol,Carkol
Coalossal,Coalossal
Coalossal-Gmax,Coalossal-Gmax
Applin,Applin
Flapple,Flapple
Flapple-Gmax,Flapple-Gmax
Appletun,Appletun
Appletun-Gmax,Appletun-Gmax
Silicobra,Silicobra
Sandaconda,Sandaconda
Sandaconda-Gmax,Sandaconda-Gmax
Cramorant,Cramorant
Cramorant-Gulping,Cramorant-Gulping
Cramorant-Gorging,Cramorant-Gorging
Arrokuda,Arrokuda
Barraskewda,Barraskewda
Toxel,Toxel
Toxtricity,Toxtricity
Toxtricity-Low-Key,Toxtricity-Low-Key
Toxtricity-Gmax,Toxtricity-Gmax
Sizzlipede,Sizzlipede
Centiskorch,Centiskorch
Centiskorch-Gmax,Centiskorch-Gmax
Clobbopus,Clobbopus
Grapploct,Grapploct
Sinistea,Sinistea
Polteageist,Polteageist
Hatenna,Hatenna
Hattrem,Hattrem
Hatterene,Hatterene
Hatterene-Gmax,Hatterene-Gmax
Impidimp,Impidimp
Morgrem,Morgrem
Grimmsnarl,Grimmsnarl
Grimmsnarl-Gmax,Grimmsnarl-Gmax
Obstagoon,Obstagoon
Perrserker,Perrserker
Cursola,Cursola
Sirfetch'd,Sirfetch'd
Mr. Rime,Mr. Rime
Runerigus,Runerigus
Milcery,Milcery
Alcremie,Alcremie
Alcremie-Gmax,Alcremie-Gmax
Falinks,Falinks
Pincurchin,Pincurchin
Snom,Snom
Frosmoth,Frosmoth
Stonjourner,Stonjourner
Eiscue,Eiscue
Eiscue-Noice,Eiscue-Noice
Indeedee,Indeedee
Indeedee-F,Indeedee-F
Morpeko,Morpeko
Morpeko-Hangry,Morpeko-Hangry
Cufant,Cufant
Copperajah,Copperajah
Copperajah-Gmax,Copperajah-Gmax
Dracozolt,Dracozolt
Arctozolt,Arctozolt
Dracovish,Dracovish
Arctovish,Arctovish
Duraludon,Duraludon
Duraludon-Gmax,Duraludon-Gmax
Dreepy,Dreepy
Drakloak,Drakloak
Dragapult,Dragapult
Zacian,Zacian
Zacian-Crowned,Zacian-Crowned
Zamazenta,Zamazenta
Zamazenta-Crowned,Zamazenta-Crowned
Eternatus,Eternatus
Venusaur-Gmax,Venusaur-Gmax
Blastoise-Gmax,Blastoise-Gmax
Pikachu-World,Pikachu-World
Slowpoke-Galar,Slowpoke-Galar
Slowbro-Galar,Slowbro-Galar
Articuno-Galar,Articuno-Galar
Zapdos-Galar,Zapdos-Galar
Moltres-Galar,Moltres-Galar
Slowking-Galar,Slowking-Galar
Xerneas-Neutral,Xerneas-Neutral
Rillaboom-Gmax,Rillaboom-Gmax
Cinderace-Gmax,Cinderace-Gmax
Inteleon-Gmax,Inteleon-Gmax
Toxtricity-Low-Key-Gmax,Toxtricity-Low-Key-Gmax
Sinistea-Antique,Sinistea-Antique
Polteageist-Antique,Polteageist-Antique
Eternatus-Eternamax,Eternatus-Eternamax
Kubfu,Kubfu
Urshifu,Urshifu
Urshifu-Rapid-Strike,Urshifu-Rapid-Strike
Urshifu-Gmax,Urshifu-Gmax
Urshifu-Rapid-Strike-Gmax,Urshifu-Rapid-Strike-Gmax
Zarude,Zarude
Zarude-Dada,Zarude-Dada
Regieleki,Regieleki
Regidrago,Regidrago
Glastrier,Glastrier
Spectrier,Spectrier
Calyrex,Calyrex
Calyrex-Ice,Calyrex-Ice
Calyrex-Shadow,Calyrex-Shadow
