English Name,Translated Name,Description
Reveal Glass,Reveal Glass,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokemon to its original shape.
Revival Herb,Revival Herb,A very bitter medicinal herb. It revives a fainted Pokemon, fully restoring its HP.
Revive,Revive,A medicine that revives a fainted Pokemon. It restores half the Pokemon's maximum HP.
Rindo Berry,Rindo Berry,Weakens a supereffective Grass-type attack against the holding Pokemon.
Ring Target,Ring Target,Moves that would otherwise have no effect will land on the Pokemon that holds it.
Rock Gem,Rock Gem,Increases the power of a Rock-type move only once.
Rock Incense,Rock Incense,Increases the power of Rock-type moves.
Rocky Helmet,Rocky Helmet,If the holder of this item takes damage, the attacker will also be opponentDamaged upon contact.
Roller Skates,Roller Skates,Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.
Root Fossil,Root Fossil,A fossil of an ancient Pokemon that lived in the sea. It appears to be part of a plant root.
Rose Incense,Rose Incense,Increases the power of Grass-type moves.
Rowap Berry,Rowap Berry,If held by a Pokemon and a special attack lands, the attacker also takes damage.
Sacred Ash,Sacred Ash,It revives all fainted Pokemon. In doing so, it also fully restores their HP.
Safari Ball,Safari Ball,A special Poke Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.
Salac Berry,Salac Berry,Raises Speed when HP is low.
Scizorite,Scizorite,Enables Scizor to Mega Evolve during battle.
Scope Lens,Scope Lens,Increases critical-hit ratio.
Sea Incense,Sea Incense,Increases the power of Water-type moves.
Sharp Beak,Sharp Beak,Increases the power of Flying-type moves.
Shed Shell,Shed Shell,A tough, discarded carapace to be held by a Pokemon. It enables the holder to switch with a waiting Pokemon in battle.
Shell Bell,Shell Bell,An item to be held by a Pokemon. The holder's HP is restored a little every time it inflicts damage.
Shiny Charm,Shiny Charm,A shiny charm said to increase the chance of finding a Shiny Pokemon in the wild.
Shiny Stone,Shiny Stone,A peculiar stone that makes certain species of Pokemon evolve. It shines with a dazzling light.
Shoal Salt,Shoal Salt,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
Shoal Shell,Shoal Shell,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
Shock Drive,Shock Drive,Changes Techno Blast to an Electric-type move when held by Genesect.
Shuca Berry,Shuca Berry,Weakens a supereffective Ground-type attack against the holding Pokemon.
Silk Scarf,Silk Scarf,Increases the power of Normal-type moves.
Silver Powder,Silver Powder,Increases the power of Bug-type moves.
Sitrus Berry,Sitrus Berry,If held by a Pokemon, it heals the user's HP a little.
Skull Fossil,Skull Fossil,A fossil from a prehistoric Pokemon that lived on the land. It appears to be part of a head.
Sky Plate,Sky Plate,Increases power of Flying-type moves. Changes Arceus' type to Flying.
Smoke Ball,Smoke Ball,An item to be held by a Pokemon. It enables the holder to flee from any wild Pokemon without fail.
Smooth Rock,Smooth Rock,A Pokemon held item that extends the duration of the move Sandstorm used by the holder.
Soda Pop,Soda Pop,A fizzy soda drink. It restores the HP of one Pokemon by 60 points.
Soft Sand,Soft Sand,Increases the power of Ground-type moves.
Soothe Bell,Soothe Bell,An item to be held by a Pokemon. It is a bell with a comforting chime that calms the holder and makes it friendly.
Soul Dew,Soul Dew,Increases both Special Attack and Special Defense when held by Latios or Latias.
Spell Tag,Spell Tag,Increases the power of Ghost-type moves.
Spelon Berry,Spelon Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Splash Plate,Splash Plate,Increases power of Water-type moves. Changes Arceus' type to Water.
Spooky Plate,Spooky Plate,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.
Sport Ball,Sport Ball,A special Poke Ball for the Bug-Catching Contest.
Sprinklotad,Sprinklotad,A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.
Stable Mulch,Stable Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Star Piece,Star Piece,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
Stardust,Stardust,Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.
Starf Berry,Starf Berry,Sharply raises a random stat when HP is low.
Steel Gem,Steel Gem,Increases the power of a Steel-type move only once.
Leek,Leek,Increases critical-hit ratio when held by Farfetch'd and Farfetch'd-Galar.
Sticky Barb,Sticky Barb,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
Stone Plate,Stone Plate,Increases power of Rock-type moves. Changes Arceus' type to Rock.
Sun Stone,Sun Stone,A peculiar stone that makes certain species of Pokemon evolve. It is as red as the sun.
Super Potion,Super Potion,A spray-type medicine for wounds. It restores the HP of one Pokemon by 50 points.
Super Repel,Super Repel,An item that prevents weak wild Pokemon from appearing for 200 steps after its use.
Sweet Heart,Sweet Heart,Very sweet chocolate. It restores the HP of one Pokemon by only 20 points.
Swift Wing,Swift Wing,Increases Speed EVs by 1.
Tamato Berry,Tamato Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base Speed stat.
Tanga Berry,Tanga Berry,Weakens a supereffective Bug-type attack against the holding Pokemon.
Thick Club,Thick Club,Increases Attack when held by Cubone or Marowak.
Thunder Stone,Thunder Stone,A peculiar stone that makes certain species of Pokemon evolve. It has a thunderbolt pattern.
Timer Ball,Timer Ball,A somewhat different BALL that becomes progressively better the more turns there are in a battle.
Tiny Mushroom,Tiny Mushroom,A small and rare mushroom. It is sought after by collectors.
Gen7 TM01,Gen7 TM01,Work Up
Gen7 TM02,Gen7 TM02,Dragon Claw
Gen7 TM03,Gen7 TM03,Psyshock
Gen7 TM04,Gen7 TM04,Calm Mind
Gen7 TM05,Gen7 TM05,Roar
Gen7 TM06,Gen7 TM06,Toxic
Gen7 TM07,Gen7 TM07,Hail
Gen7 TM08,Gen7 TM08,Bulk Up
Gen7 TM09,Gen7 TM09,Venoshock
Gen7 TM10,Gen7 TM10,Hidden Power
Gen7 TM11,Gen7 TM11,Sunny Day
Gen7 TM12,Gen7 TM12,Taunt
Gen7 TM13,Gen7 TM13,Ice Beam
Gen7 TM14,Gen7 TM14,Blizzard
Gen7 TM15,Gen7 TM15,Hyper Beam
Gen7 TM16,Gen7 TM16,Light Screen
Gen7 TM17,Gen7 TM17,Protect
Gen7 TM18,Gen7 TM18,Rain Dance
Gen7 TM19,Gen7 TM19,Roost
Gen7 TM20,Gen7 TM20,Safeguard
Gen7 TM21,Gen7 TM21,Frustration
Gen7 TM22,Gen7 TM22,Solar Beam
Gen7 TM23,Gen7 TM23,Smack Down
Gen7 TM24,Gen7 TM24,Thunderbolt
Gen7 TM25,Gen7 TM25,Thunder
Gen7 TM26,Gen7 TM26,Earthquake
Gen7 TM27,Gen7 TM27,Return
Gen7 TM28,Gen7 TM28,Leech Life
Gen7 TM29,Gen7 TM29,Psychic
Gen7 TM30,Gen7 TM30,Shadow Ball
Gen7 TM31,Gen7 TM31,Brick Break
Gen7 TM32,Gen7 TM32,Double Team
Gen7 TM33,Gen7 TM33,Reflect
Gen7 TM34,Gen7 TM34,Sludge Wave
Gen7 TM35,Gen7 TM35,Flamethrower
Gen7 TM36,Gen7 TM36,Sludge Bomb
Gen7 TM37,Gen7 TM37,Sandstorm
Gen7 TM38,Gen7 TM38,Fire Blast
Gen7 TM39,Gen7 TM39,Rock Tomb
Gen7 TM40,Gen7 TM40,Aerial Ace
Gen7 TM41,Gen7 TM41,Torment
Gen7 TM42,Gen7 TM42,Facade
Gen7 TM43,Gen7 TM43,Flame Charge
Gen7 TM44,Gen7 TM44,Rest
Gen7 TM45,Gen7 TM45,Attract
Gen7 TM46,Gen7 TM46,Thief
Gen7 TM47,Gen7 TM47,Low Sweep
Gen7 TM48,Gen7 TM48,Round
Gen7 TM49,Gen7 TM49,Echoed Voice
Gen7 TM50,Gen7 TM50,Overheat
Gen7 TM51,Gen7 TM51,Steel Wing
Gen7 TM52,Gen7 TM52,Focus Blast
Gen7 TM53,Gen7 TM53,Energy Ball
Gen7 TM54,Gen7 TM54,False Swipe
Gen7 TM55,Gen7 TM55,Scald
Gen7 TM56,Gen7 TM56,Fling
Gen7 TM57,Gen7 TM57,Charge Beam
Gen7 TM58,Gen7 TM58,Sky Drop
Gen7 TM59,Gen7 TM59,Brutal Swing
Gen7 TM60,Gen7 TM60,Quash
Gen7 TM61,Gen7 TM61,Will-O-Wisp
Gen7 TM62,Gen7 TM62,Acrobatics
Gen7 TM63,Gen7 TM63,Embargo
Gen7 TM64,Gen7 TM64,Explosion
Gen7 TM65,Gen7 TM65,Shadow Claw
Gen7 TM66,Gen7 TM66,Payback
Gen7 TM67,Gen7 TM67,Smart Strike
Gen7 TM68,Gen7 TM68,Giga Impact
Gen7 TM69,Gen7 TM69,Rock Polish
Gen7 TM70,Gen7 TM70,Aurora Veil
Gen7 TM71,Gen7 TM71,Stone Edge
Gen7 TM72,Gen7 TM72,Volt Switch
Gen7 TM73,Gen7 TM73,Thunder Wave
Gen7 TM74,Gen7 TM74,Gyro Ball
Gen7 TM75,Gen7 TM75,Swords Dance
Gen7 TM76,Gen7 TM76,Fly
Gen7 TM77,Gen7 TM77,Psych Up
Gen7 TM78,Gen7 TM78,Bulldoze
Gen7 TM79,Gen7 TM79,Frost Breath
Gen7 TM80,Gen7 TM80,Rock Slide
Gen7 TM81,Gen7 TM81,X-Scissor
Gen7 TM82,Gen7 TM82,Dragon Tail
Gen7 TM83,Gen7 TM83,Infestation
Gen7 TM84,Gen7 TM84,Poison Jab
Gen7 TM85,Gen7 TM85,Dream Eater
Gen7 TM86,Gen7 TM86,Grass Knot
Gen7 TM87,Gen7 TM87,Swagger
Gen7 TM88,Gen7 TM88,Sleep Talk
Gen7 TM89,Gen7 TM89,U-turn
Gen7 TM90,Gen7 TM90,Substitute
Gen7 TM91,Gen7 TM91,Flash Cannon
Gen7 TM92,Gen7 TM92,Trick Room
Gen7 TM93,Gen7 TM93,Wild Charge
Gen7 TM94,Gen7 TM94,Surf
Gen7 TM95,Gen7 TM95,Snarl
Gen7 TM96,Gen7 TM96,Nature Power
Gen7 TM97,Gen7 TM97,Dark Pulse
Gen7 TM98,Gen7 TM98,Waterfall
Gen7 TM99,Gen7 TM99,Dazzling Gleam
Gen7 TM100,Gen7 TM100,Confide
TMV Pass,TMV Pass,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
Toxic Orb,Toxic Orb,An item to be held by a Pokemon. It is a bizarre orb that badly poisons the holder in battle.
Toxic Plate,Toxic Plate,Increases power of Poison-type moves. Changes Arceus' type to Poison.
Twisted Spoon,Twisted Spoon,Increases the power of Psychic-type moves.
Tyranitarite,Tyranitarite,Enables Tyranitar to Mega Evolve during battle.
Ultra Ball,Ultra Ball,An ultra-performance Ball that provides a higher Pokemon catch rate than a Great Ball.
Up-Grade,Up-Grade,A transparent device filled with all sorts of data. It was produced by Silph Co.
Venusaurite,Venusaurite,Enables Venusaur to Mega Evolve during battle.
Wacan Berry,Wacan Berry,Weakens a supereffective Electric-type attack against the holding Pokemon.
Water Gem,Water Gem,Increases the power of a Water-type move only once.
Water Stone,Water Stone,A peculiar stone that makes certain species of Pokemon evolve. It is a clear, light blue.
Watmel Berry,Watmel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Wave Incense,Wave Incense,Increases the power of Water-type moves.
Wepear Berry,Wepear Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
White Flute,White Flute,A toy flute made from white glass. A maniac will buy it for a high price.
White Herb,White Herb,A permanent item to be held by a Pokemon. It restores any lowered stat in battle one time.
Wht Apricorn,Wht Apricorn,A white Apricorn. It doesn't smell like anything.
Wide Lens,Wide Lens,Increases the accuracy of moves.
Wiki Berry,Wiki Berry,Restores HP if it's low, but may cause confusion.
Wise Glasses,Wise Glasses,Increases the power of Special-category moves.
X Accuracy,X Accuracy,Raises Accuracy of a Pokemon in battle.
X Accuracy 2,X Accuracy 2,Sharply raises Accuracy of a Pokemon in battle.
X Accuracy 3,X Accuracy 3,Drastically raises Accuracy of a Pokemon in battle.
X Accuracy 6,X Accuracy 6,Immensely raises Accuracy of a Pokemon in battle.
X Attack,X Attack,Raises Attack of a Pokemon in battle.
X Attack 2,X Attack 2,Sharply raises Attack of a Pokemon in battle.
X Attack 3,X Attack 3,Drastically raises Attack of a Pokemon in battle.
X Attack 6,X Attack 6,Immensely raises Attack of a Pokemon in battle.
X Defend,X Defend,Raises Defense of a Pokemon in battle.
X Defend 2,X Defend 2,Sharply raises Defense of a Pokemon in battle.
X Defend 3,X Defend 3,Drastically raises Defense of a Pokemon in battle.
X Defend 6,X Defend 6,Immensely raises Defense of a Pokemon in battle.
X Sp. Def,X Sp. Def,Raises Special Defense of a Pokemon in battle.
X Sp. Def 2,X Sp. Def 2,Sharply raises Special Defense of a Pokemon in battle.
X Sp. Def 3,X Sp. Def 3,Drastically raises Special Defense of a Pokemon in battle.
X Sp. Def 6,X Sp. Def 6,Immensely raises Special Defense of a Pokemon in battle.
X Special,X Special,Raises Special Attack of a Pokemon in battle.
X Special 2,X Special 2,Sharply raises Special Attack of a Pokemon in battle.
X Special 3,X Special 3,Drastically raises Special Attack of a Pokemon in battle.
X Special 6,X Special 6,Immensely raises Special Attack of a Pokemon in battle.
X Speed,X Speed,Raises Speed of a Pokemon in battle.
X Speed 2,X Speed 2,Sharply raises Speed of a Pokemon in battle.
X Speed 3,X Speed 3,Drastically raises Speed of a Pokemon in battle.
X Speed 6,X Speed 6,Immensely raises Speed of a Pokemon in battle.
Yache Berry,Yache Berry,Weakens a supereffective Ice-type attack against the holding Pokemon.
Yellow Flute,Yellow Flute,A toy flute made from yellow glass. A maniac will buy it for a high price.
Yellow Scarf,Yellow Scarf,Raises holder's Tough aspect in a Contest.
Yellow Shard,Yellow Shard,A small yellow shard. It appears to be from some sort of implement made long ago.
Ylw Apricorn,Ylw Apricorn,A yellow Apricorn. It has an invigorating scent.
Zap Plate,Zap Plate,Increases power of Electric-type moves. Changes Arceus' type to Electric.
Zinc,Zinc,A nutritious drink for Pokemon. It raises the base Sp. Def (Special Defense) stat of a single Pokemon.
Zoom Lens,Zoom Lens,Raises a move's accuracy if the holder moves after its target.
Honey Drop,Honey Drop,Item dropped by honey bees. Used for buying honey.
Honey,Honey,Item which has soothing smell. Spawns a rare pokemon.
TM Fragment,TM Fragment,Fragments used to be sold to a seller who mixes them to form a TM
Love Token,Love Token,Tokens which can be exchanged for surprise boxes.
Basic Valentine Box,Basic Valentine Box,A spawn box, which will spawn a basic gift pokemon
Standard Valentine Box,Standard Valentine Box,A spawn box, which will spawn a standard gift pokemon
Special Valentine Box,Special Valentine Box,A spawn box, which will spawn a special gift pokemon
Ultimate Valentine Box,Ultimate Valentine Box,A spawn box, which will spawn the ultimate gift pokemon
Mega Valentine Box,Mega Valentine Box,A spawn box, which will spawn a gift pokemon
Bug Memory,Bug Memory,Makes Silvally a Bug-type Pok rmon and makes Multi-Attack a Bug-type move.
Dark Memory,Dark Memory,Makes Silvally a Dark-type Poke mon and makes Multi-Attack a Dark-type move.
Dragon Memory,Dragon Memory,Makes Silvally a Dragon-type Poke mon and makes Multi-Attack a Dragon-type move.
Electric Memory,Electric Memory,Makes Silvally a Electric-type Poke mon and makes Multi-Attack a Electric-type move.
Fairy Memory,Fairy Memory,Makes Silvally a Fairy-type Poke mon and makes Multi-Attack a Fairy-type move.
Fighting Memory,Fighting Memory,Makes Silvally a Fighting-type Poke mon and makes Multi-Attack a Fighting-type move.
Fire Memory,Fire Memory,Makes Silvally a Fire-type Poke mon and makes Multi-Attack a Fire-type move.
Flying Memory,Flying Memory,Makes Silvally a Flying-type Poke mon and makes Multi-Attack a Flying-type move.
Ghost Memory,Ghost Memory,Makes Silvally a Ghost-type Poke mon and makes Multi-Attack a Ghost-type move.
Grass Memory,Grass Memory,Makes Silvally a Grass-type Poke mon and makes Multi-Attack a Grass-type move.
Ground Memory,Ground Memory,Makes Silvally a Ground-type Poke mon and makes Multi-Attack a Ground-type move.
Ice Memory,Ice Memory,Makes Silvally a Ice-type Poke mon and makes Multi-Attack a Ice-type move.
Poison Memory,Poison Memory,Makes Silvally a Poison-type Poke mon and makes Multi-Attack a Poison-type move.
Psychic Memory,Psychic Memory,Makes Silvally a Psychic-type Poke mon and makes Multi-Attack a Psychic-type move.
Rock Memory,Rock Memory,Makes Silvally a Rock-type Poke mon and makes Multi-Attack a Rock-type move.
Steel Memory,Steel Memory,Makes Silvally a Steel-type Poke mon and makes Multi-Attack a Steel-type move.
Water Memory,Water Memory,Makes Silvally a Water-type Poke mon and makes Multi-Attack a Water-type move.
Terrain Extender,Terrain Extender,Lengthens the duration of all terrain-inducing moves and abilities from 5 turns to 8 turns.
Electric Seed,Electric Seed,A one-time use item that raises the holder's Defense by one stage upon activation of Electric Terrain
Grassy Seed,Grassy Seed,A one-time use item that raises the holder's Defense by one stage upon activation of Grassy Terrain
Misty Seed,Misty Seed,A one-time use item that raises the holder's Defense by one stage upon activation of Misty Terrain
Psychic Seed,Psychic Seed,A one-time use item that raises the holder's Defense by one stage upon activation of Psychic Terrain
Adrenaline Orb,Adrenaline Orb,If the holder is affected by Intimidate, its Speed is increased by one stage. One-time use.
Protective Pads,Protective Pads,An item to be held by a Pokemon. These pads protect the holder from effects caused by making direct contact with the target.
Ice Stone,Ice Stone,A peculiar stone that can make certain species of Pokemon evolve. It has an unmistakable snowflake pattern.
Alolan Leaf Stone,Alolan Leaf Stone,A different-looking thunder stone. It evolves Exeggcute into Exeggutor-Alola
Alolan Thunder Stone,Alolan Thunder Stone,A different-looking thunder stone. It evolves Pikachu into Raichu-Alola
Coronet Stone,Coronet Stone,A magnetic rock from Coronet Mountain that helps certain species of Pokemon evolve.
Lanakila Icicle,Lanakila Icicle,A magnetic rock from Lanakila Mountain that evolves Crabrawler into Crabominable.
Link Stone,Link Stone,A unique stone that carries the energy from a pokemon trade. It is used to evolve certain species of Pokemon
Sachet,Sachet,A sachet filled with fragrant perfumes that are just slightly too overwhelming. Yet it's loved by a certain Pokemon
Whipped Dream,Whipped Dream,A soft and sweet treat made of fluffy, puffy, whipped and whirled cream. It's loved by a certain Pokemon
Beast Ball,Beast Ball,Allows the player to catch wild Pokemon; works better on Ultra Beasts.
Luminous Moss,Luminous Moss,An item to be held by a Pokemon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.
Snowball,Snowball,An item to be held by a Pokemon. It boosts Attack if hit with an Ice-type attack. It can only be used once.
Aloraichium Z,Aloraichium Z,It converts Z-Power into crystals that upgrade Alolan Raichu_ s Thunderbolt to an exclusive Z-Move.
Buginium Z,Buginium Z,It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.
Darkinium Z,Darkinium Z,It converts Z-Power into crystals that upgrade Dark-type moves to Dark-type Z-Moves.
Decidium Z,Decidium Z,It converts Z-Power into crystals that upgrade Decidueye_ s Spirit Shackle to an exclusive Z-Move.
Dragonium Z,Dragonium Z,It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.
Eevium Z,Eevium Z,It converts Z-Power into crystals that upgrade Eevee_ s Last Resort to an exclusive Z-Move.
Electrium Z,Electrium Z,It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.
Fairium Z,Fairium Z,It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.
Fightinium Z,Fightinium Z,It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.
Firium Z,Firium Z,It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.
Flyinium Z,Flyinium Z,It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.
Ghostium Z,Ghostium Z,It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.
Grassium Z,Grassium Z,It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.
Groundium Z,Groundium Z,It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.
Icium Z,Icium Z,It converts Z-Power into crystals that upgrade Ice-type moves to Ice-type Z-Moves.
Incinium Z,Incinium Z,It converts Z-Power into crystals that upgrade Incineroar_ s Darkest Lariat to an exclusive Z-Move.
Marshadium Z,Marshadium Z,It converts Z-Power into crystals that upgrade Marshadow_ s Spectral Thief to an exclusive Z-Move.
Mewnium Z,Mewnium Z,It converts Z-Power into crystals that upgrade Mew_ s Psychic to an exclusive Z-Move.
Normalium Z,Normalium Z,It converts Z-Power into crystals that upgrade Normal-type moves to Normal-type Z-Moves.
Pikanium Z,Pikanium Z,It converts Z-Power into crystals that upgrade Pikachu_ s Volt Tackle to an exclusive Z-Move.
Pikashunium Z,Pikashunium Z,This is a crystallized form of Z-Power. It upgrades a Thunderbolt by Pikachu in a cap to a Z-Move.
Poisonium Z,Poisonium Z,It converts Z-Power into crystals that upgrade Poison-type moves to Poison-type Z-Moves.
Primarium Z,Primarium Z,It converts Z-Power into crystals that upgrade Primarina_ s Sparkling Aria to an exclusive Z-Move.
Psychium Z,Psychium Z,It converts Z-Power into crystals that upgrade Psychic-type moves to Psychic-type Z-Moves.
Rockium Z,Rockium Z,It converts Z-Power into crystals that upgrade Rock-type moves to Rock-type Z-Moves.
Snorlium Z,Snorlium Z,It converts Z-Power into crystals that upgrade Snorlax_ s Giga Impact to an exclusive Z-Move.
Steelium Z,Steelium Z,It converts Z-Power into crystals that upgrade Steel-type moves to Steel-type Z-Moves.
Tapunium Z,Tapunium Z,It converts Z-Power into crystals that upgrade the tapu_ s Nature_ s Madness to an exclusive Z-Move.
Waterium Z,Waterium Z,It converts Z-Power into crystals that upgrade Water-type moves to Water-type Z-Moves.
Moss Rock,Moss Rock,A moss covered stone. It is used to evolve Eevee to Leafeon.
Reverse Stone,Reverse Stone,A weird looking stone. It is used to evolve Inkay to Malamar.
7-Day Exp Boost,7-Day Exp Boost,An item which when applied increases the experience received from wild pokemon by 15%.This lasts for a week.
Starter Blue Hair,Starter Blue Hair,Classic starter blue Hair Style
Starter Blue T-Shirt,Starter Blue T-Shirt,Classic starter blue T-Shirt
Starter Black Pants,Starter Black Pants,Classic starter black Pants
Starter Red Shoe,Starter Red Shoe,Classic starter red Shoe
Starter Ball,Starter Ball,A device for catching wild Pokemon. It is thrown like a ball at the target. It is designed as a capsule system.
Surprise Box,Surprise Box,A box packed by staff of PBO. It will provide you with 2 random items from a selection of items chosen by PBO staff.
Fishing Rod,Fishing Rod,Allows the player to fish in bodies of water.
Starter Yellow Hair,Starter Yellow Hair,Classic starter yellow Hair Style
Starter Girl Blue Hair,Starter Girl Blue Hair,Classic starter blue Hair Style
Starter Girl Black Top,Starter Girl Black Top,Classic starter black top
Starter Girl Orange Skirt,Starter Girl Orange Skirt,Classic starter orange Skirt
Starter Girl Red Shoe,Starter Girl Red Shoe,Classic starter red Shoe
1-Day Exp Boost,1-Day Exp Boost,An item which when applied increases the experience received from wild pokemon by 15%.This lasts for a day.
15-Day Exp Boost,15-Day Exp Boost,An item which when applied increases the experience received from wild pokemon by 15%.This lasts for 15 days.
30-Day Exp Boost,30-Day Exp Boost,An item which when applied increases the experience received from wild pokemon by 15%.This lasts for 30 days.
1-Hour Global Exp Boost,1-Hour Global Exp Boost,An item, which, when applied, increases the experience received from wild pokemon by 10% for entire server. This lasts for an hour.
Starter Light Blue Hair,Starter Light Blue Hair,Classic starter light blue Hair Style
Starter Light Yellow Hair,Starter Light Yellow Hair,Classic starter light yellow Hair Style
Starter Red Hair,Starter Red Hair,Classic starter red Hair Style
Starter Light Red Hair,Starter Light Red Hair,Classic starter light red Hair Style
Starter Purple Hair,Starter Purple Hair,Classic starter purple Hair Style
Starter Light Purple Hair,Starter Light Purple Hair,Classic starter light purple Hair Style
Starter Green Hair,Starter Green Hair,Classic starter green Hair Style
Starter Light Green Hair,Starter Light Green Hair,Classic starter light green Hair Style
Starter Orange Hair,Starter Orange Hair,Classic starter orange Hair Style
Starter Black Hair,Starter Black Hair,Classic starter black Hair Style
Starter Red T-Shirt,Starter Red T-Shirt,Classic starter red T-Shirt
Starter Black T-Shirt,Starter Black T-Shirt,Classic starter black T-Shirt
Starter Orange T-Shirt,Starter Orange T-Shirt,Classic starter orange T-Shirt
Starter Green T-Shirt,Starter Green T-Shirt,Classic starter green T-Shirt
Starter Pink T-Shirt,Starter Pink T-Shirt,Classic starter pink T-Shirt
Starter Gray Pants,Starter Gray Pants,Classic starter gray Pants
Starter Blue Pants,Starter Blue Pants,Classic starter blue Pants
Starter Khakhi Pants,Starter Khakhi Pants,Classic starter khakhi Pants
Starter Brown Pants,Starter Brown Pants,Classic starter brown Pants
Starter Red Pants,Starter Red Pants,Classic starter red Pants
Starter Lime Green Shoe,Starter Lime Green Shoe,Classic starter lime green Shoe
Starter Blue Shoe,Starter Blue Shoe,Classic starter blue Shoe
Starter Black Shoe,Starter Black Shoe,Classic starter black Shoe
Starter Brown Shoe,Starter Brown Shoe,Classic starter brown Shoe
Starter Purple Shoe,Starter Purple Shoe,Classic starter purple Shoe
Starter Girl Light Blue Hair,Starter Girl Light Blue Hair,Classic starter light blue Hair Style
Starter Girl Yellow Hair,Starter Girl Yellow Hair,Classic starter yellow Hair Style
Starter Girl Light Yellow Hair,Starter Girl Light Yellow Hair,Classic starter light yellow Hair Style
Starter Girl Red Hair,Starter Girl Red Hair,Classic starter red Hair Style
Starter Girl Light Red Hair,Starter Girl Light Red Hair,Classic starter light red Hair Style
Starter Girl Purple Hair,Starter Girl Purple Hair,Classic starter purple Hair Style
Starter Girl Light Purple Hair,Starter Girl Light Purple Hair,Classic starter light purple Hair Style
Starter Girl Green Hair,Starter Girl Green Hair,Classic starter green Hair Style
Starter Girl Light Green Hair,Starter Girl Light Green Hair,Classic starter light green Hair Style
Starter Girl Orange Hair,Starter Girl Orange Hair,Classic starter orange Hair Style
Starter Girl Black Hair,Starter Girl Black Hair,Classic starter black Hair Style
Starter Girl Orange Top,Starter Girl Orange Top,Classic starter orange top
Starter Girl Purple Top,Starter Girl Purple Top,Classic starter purple top
Starter Girl Green Top,Starter Girl Green Top,Classic starter green top
Starter Girl Turquoise Top,Starter Girl Turquoise Top,Classic starter turquoise top
Starter Girl Red Top,Starter Girl Red Top,Classic starter red top
Starter Girl Green Skirt,Starter Girl Green Skirt,Classic starter green Skirt
Starter Girl Black Skirt,Starter Girl Black Skirt,Classic starter black Skirt
Starter Girl Yellow Skirt,Starter Girl Yellow Skirt,Classic starter yellow Skirt
Starter Girl Purple Skirt,Starter Girl Purple Skirt,Classic starter orange Skirt
Starter Girl Pink Skirt,Starter Girl Pink Skirt,Classic starter pink Skirt
Starter Girl Silver Shoe,Starter Girl Silver Shoe,Classic starter silver Shoe
Starter Girl Gold Shoe,Starter Girl Gold Shoe,Classic starter gold Shoe
Starter Girl Pink Shoe,Starter Girl Pink Shoe,Classic starter pink Shoe
Starter Girl Purple Shoe,Starter Girl Purple Shoe,Classic starter purple Shoe
Starter Girl Turquoise Shoe,Starter Girl Turquoise Shoe,Classic starter turquoise Shoe
Pigtail Girl Blue Hair,Pigtail Girl Blue Hair,Classic Pigtail blue Hair Style
Pigtail Girl Light Blue Hair,Pigtail Girl Light Blue Hair,Classic Pigtail light blue Hair Style
Pigtail Girl Yellow Hair,Pigtail Girl Yellow Hair,Classic Pigtail yellow Hair Style
Pigtail Girl Light Yellow Hair,Pigtail Girl Light Yellow Hair,Classic Pigtail light yellow Hair Style
Pigtail Girl Red Hair,Pigtail Girl Red Hair,Classic Pigtail red Hair Style
Pigtail Girl Light Red Hair,Pigtail Girl Light Red Hair,Classic Pigtail light red Hair Style
Pigtail Girl Purple Hair,Pigtail Girl Purple Hair,Classic Pigtail purple Hair Style
Pigtail Girl Light Purple Hair,Pigtail Girl Light Purple Hair,Classic Pigtail light purple Hair Style
